GameID,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Corr,Amb
24695,9,1,9,-,1,24,0.6,-15,-,1,0,0
24696,27,1,27,-,1,28,0.95,22,Symm,5,0,1
24697,16,0.8,-19,-,1,39,0.5,-25,Symm,5,1,0
24698,27,0.2,1,L-skew,2,51,0.05,6,-,1,-1,0
24699,77,0.25,9,-,1,32,0.75,9,-,1,0,0
24700,24,1,24,-,1,38,0.4,8,-,1,0,0
24701,4,1,4,-,1,1,0.95,-10,-,1,0,0
24702,23,1,23,-,1,33,0.25,13,-,1,0,0
24703,-5,1,-5,-,1,0,0.75,-26,R-skew,4,0,0
24704,4,1,4,-,1,108,0.2,-18,Symm,5,0,0
24705,76,0.05,-2,-,1,50,0.2,-12,-,1,0,0
24706,69,0.01,24,Symm,7,248,0.05,19,Symm,9,0,0
24707,20,1,20,-,1,13,0.95,5,-,1,0,0
24708,-3,1,-3,-,1,6,0.8,-47,R-skew,3,0,0
24709,21,1,21,-,1,22,0.8,8,-,1,0,0
24710,10,1,10,-,1,18,0.8,-20,-,1,0,1
24711,16,1,16,-,1,22,0.8,1,Symm,5,0,0
24712,34,0.2,-5,-,1,26,0.6,-32,R-skew,6,0,0
24713,27,1,27,-,1,77,0.5,-20,-,1,0,0
24714,25,1,25,-,1,99,0.2,9,Symm,7,0,0
24715,90,0.25,-33,R-skew,5,9,0.75,-20,Symm,7,0,0
24716,22,1,22,-,1,21,0.99,10,R-skew,3,0,0
24717,30,1,30,-,1,42,0.8,24,-,1,0,0
24718,28,1,28,-,1,27,0.05,12,-,1,0,1
24719,21,0.6,-24,Symm,7,9,0.5,-8,-,1,0,0
24720,5,1,5,-,1,30,0.01,2,-,1,0,0
24721,25,0.4,12,-,1,35,0.4,2,-,1,-1,1
24722,7,0.9,-10,Symm,5,15,0.4,12,-,1,0,1
24723,4,1,4,-,1,28,0.5,-24,Symm,3,0,0
24724,16,0.4,-14,-,1,-2,1,-2,Symm,3,0,0
24725,9,1,9,-,1,62,0.01,2,-,1,0,0
24726,11,0.2,-4,L-skew,3,76,0.1,-18,R-skew,3,0,0
24727,14,1,14,-,1,14,1,14,L-skew,6,0,0
24728,15,1,15,-,1,76,0.4,-18,-,1,0,0
24729,-4,1,-4,-,1,5,0.4,-9,Symm,5,0,0
24730,32,0.6,-20,Symm,5,53,0.5,-26,-,1,0,0
24731,-3,1,-3,-,1,24,0.1,-2,-,1,0,0
24732,0,0.99,-8,Symm,3,0,0.5,-1,-,1,0,1
24733,40,0.05,16,Symm,5,62,0.5,-45,-,1,0,0
24734,82,0.25,-14,-,1,80,0.05,12,-,1,-1,0
24735,-6,1,-6,-,1,248,0.05,-19,-,1,0,0
24736,25,1,25,-,1,47,0.6,-19,-,1,0,0
24737,34,0.25,25,R-skew,6,169,0.2,-4,Symm,3,0,0
24738,141,0.25,-23,-,1,16,0.2,13,R-skew,3,0,0
24739,7,1,7,-,1,32,0.01,10,-,1,0,0
24740,198,0.25,-26,-,1,59,0.1,29,-,1,-1,0
24741,4,0.4,2,-,1,11,0.4,4,Symm,5,0,1
24742,17,0.75,8,-,1,29,0.9,-44,Symm,3,0,1
24743,40,0.4,-2,R-skew,7,23,0.9,-23,-,1,0,0
24744,30,0.6,-23,L-skew,2,-2,0.95,-3,R-skew,5,0,0
24745,14,1,14,-,1,38,0.1,9,-,1,0,0
24746,14,1,14,-,1,35,0.01,7,Symm,7,0,0
24747,14,0.99,1,Symm,7,31,0.6,-18,Symm,5,1,1
24748,25,0.8,-15,R-skew,5,58,0.25,-10,-,1,1,1
24749,20,1,20,Symm,9,19,0.6,2,-,1,0,1
24750,-4,0.95,-40,-,1,16,0.4,-19,L-skew,3,0,0
24751,29,1,29,R-skew,3,31,0.25,27,L-skew,6,0,0
24752,14,0.95,14,-,1,120,0.25,-27,Symm,3,0,0
24753,26,1,26,-,1,83,0.5,-44,Symm,5,0,0
24754,26,0.05,-11,-,1,100,0.25,-27,-,1,0,1
24755,64,0.01,8,L-skew,4,28,0.1,6,-,1,0,0
24756,26,1,26,-,1,61,0.6,-12,-,1,0,0
24757,19,0.6,-19,-,1,66,0.1,-13,-,1,1,0
24758,67,0.2,-12,-,1,54,0.25,-13,-,1,0,1
24759,10,1,10,-,1,114,0.2,-17,R-skew,2,0,1
24760,53,0.4,11,Symm,5,34,0.05,28,R-skew,3,0,0
24761,-7,1,-7,-,1,186,0.1,-34,-,1,0,0
24762,9,0.01,0,-,1,34,0.5,-16,L-skew,2,0,0
24763,50,0.5,-42,L-skew,5,4,0.5,-5,-,1,-1,0
24764,22,1,22,-,1,35,0.6,-20,-,1,0,1
24765,-4,1,-4,-,1,3,0.75,-35,R-skew,4,0,0
24766,29,0.75,25,-,1,53,0.1,31,Symm,3,0,0
24767,18,1,18,-,1,28,0.5,17,-,1,0,0
24768,16,1,16,-,1,21,0.95,16,Symm,5,0,0
24769,13,1,13,-,1,22,0.8,-17,R-skew,7,0,1
24770,-1,0.25,-1,-,1,69,0.01,-1,-,1,0,0
24771,2,1,2,-,1,0,0.99,-12,-,1,0,0
24772,27,0.05,-2,Symm,5,40,0.25,-25,L-skew,3,-1,0
24773,22,1,22,-,1,66,0.2,7,L-skew,3,0,0
24774,8,0.01,3,-,1,128,0.25,-28,R-skew,5,0,1
24775,-7,0.95,-12,-,1,89,0.1,-7,R-skew,5,0,1
24776,44,0.4,12,L-skew,4,67,0.2,22,-,1,0,0
24777,1,1,1,-,1,136,0.25,-31,-,1,0,0
24778,-8,1,-8,-,1,3,0.9,-12,-,1,0,0
24779,190,0.05,-10,L-skew,5,32,0.4,-14,-,1,0,0
24780,21,0.4,-4,Symm,9,-1,0.95,-6,Symm,7,0,0
24781,14,0.4,-14,-,1,4,0.6,-12,Symm,3,0,0
24782,64,0.25,-21,-,1,8,0.95,-2,Symm,3,0,0
24783,27,1,27,-,1,34,0.6,15,-,1,0,0
24784,40,0.01,28,R-skew,6,40,0.75,-21,Symm,5,0,0
24785,26,1,26,-,1,29,0.4,13,Symm,3,0,0
24786,28,1,28,-,1,36,0.9,-5,-,1,0,1
24787,-9,0.75,-10,R-skew,6,69,0.01,-8,Symm,3,0,0
24788,19,0.01,4,-,1,23,0.4,-17,Symm,9,0,0
24789,-10,1,-10,-,1,7,0.1,-3,-,1,0,0
24790,29,1,29,-,1,256,0.05,14,-,1,0,0
24791,-7,1,-7,-,1,37,0.4,-44,-,1,0,0
24792,-7,1,-7,-,1,5,0.6,-23,-,1,0,1
24793,21,1,21,-,1,32,0.8,-35,-,1,0,0
24794,9,1,9,-,1,26,0.1,-2,-,1,0,1
24795,59,0.25,-5,-,1,42,0.2,10,R-skew,5,0,1
24796,-6,0.99,-7,-,1,3,0.6,-16,-,1,0,0
24797,32,0.5,20,-,1,42,0.1,29,R-skew,3,0,1
24798,25,0.5,5,L-skew,4,20,0.9,16,-,1,0,1
24799,11,1,11,-,1,14,0.99,11,-,1,0,0
24800,22,1,22,-,1,61,0.25,14,-,1,0,0
24801,-9,1,-9,-,1,29,0.05,-14,Symm,5,0,0
24802,66,0.5,-14,-,1,49,0.5,12,-,1,0,0
24803,6,1,6,-,1,35,0.5,-12,-,1,0,1
24804,12,0.75,-16,-,1,39,0.5,-24,-,1,0,0
24805,-6,1,-6,-,1,99,0.05,-16,Symm,7,0,1
24806,43,0.05,10,L-skew,5,56,0.05,17,-,1,0,0
24807,-10,1,-10,-,1,3,0.2,-15,-,1,0,0
24808,18,0.01,8,-,1,8,1,8,-,1,0,0
24809,11,1,11,-,1,19,0.2,14,-,1,0,0
24810,3,0.1,2,-,1,-3,0.4,-10,L-skew,2,0,0
24811,55,0.01,27,L-skew,6,80,0.2,14,Symm,5,0,1
24812,22,1,22,-,1,48,0.05,11,Symm,7,0,0
24813,76,0.01,15,Symm,3,81,0.1,14,L-skew,2,-1,0
24814,2,1,2,-,1,81,0.1,-7,-,1,0,1
24815,71,0.4,-41,-,1,19,0.01,12,-,1,1,0
24816,58,0.4,-29,-,1,78,0.1,-4,-,1,0,0
24817,25,1,25,-,1,58,0.4,16,-,1,0,0
24818,11,1,11,-,1,51,0.05,8,-,1,0,0
24819,12,1,12,-,1,34,0.01,8,R-skew,5,0,0
24820,36,0.4,-37,L-skew,3,62,0.2,-15,-,1,0,1
24821,2,1,2,-,1,44,0.2,-11,Symm,9,0,0
24822,3,1,3,-,1,5,0.6,-15,L-skew,3,0,0
24823,15,1,15,-,1,15,1,15,R-skew,2,0,0
24824,17,0.75,-47,Symm,3,1,1,1,L-skew,3,0,0
24825,-10,1,-10,-,1,28,0.4,-31,-,1,0,0
24826,29,1,29,-,1,64,0.4,11,-,1,0,0
24827,10,1,10,-,1,66,0.1,6,Symm,3,0,0
24828,19,0.8,-17,-,1,25,0.8,-34,-,1,0,0
24829,11,1,11,-,1,24,0.01,10,Symm,3,0,1
24830,37,0.2,-8,-,1,65,0.25,-17,L-skew,3,0,0
24831,81,0.4,-42,-,1,7,1,7,-,1,0,0
24832,57,0.25,6,-,1,24,0.9,17,L-skew,2,0,1
24833,-4,1,-4,-,1,66,0.25,-21,-,1,0,0
24834,9,0.05,-5,-,1,55,0.25,-23,L-skew,6,0,0
24835,40,0.25,12,-,1,20,0.9,-5,Symm,7,1,0
24836,16,1,16,-,1,128,0.25,-18,-,1,0,0
24837,56,0.1,24,-,1,85,0.6,-46,R-skew,3,-1,1
24838,17,0.99,12,Symm,9,17,1,17,-,1,0,0
24839,19,1,19,-,1,36,0.6,-7,-,1,0,0
24840,-5,1,-5,-,1,1,0.1,-9,-,1,0,0
24841,29,0.5,-9,Symm,3,159,0.2,-40,Symm,7,1,0
24842,73,0.1,3,-,1,21,0.6,-1,R-skew,4,1,0
24843,-3,0.95,-19,-,1,5,0.01,-10,R-skew,7,0,0
24844,6,1,6,-,1,70,0.2,-9,L-skew,2,0,0
24845,23,0.9,-7,-,1,97,0.25,2,L-skew,2,0,1
24846,-5,1,-5,-,1,6,0.25,-7,L-skew,4,0,0
24847,-6,1,-6,-,1,2,0.1,0,Symm,9,0,0
24848,12,1,12,-,1,55,0.4,-26,-,1,0,0
24849,24,1,24,-,1,52,0.4,20,L-skew,2,0,0
24850,45,0.05,11,-,1,48,0.5,-13,-,1,0,0
24851,-3,1,-3,-,1,7,0.8,-19,Symm,5,0,0
24852,30,0.5,-38,R-skew,3,-4,0.9,-21,R-skew,7,0,0
24853,6,1,6,-,1,42,0.1,-10,Symm,3,0,0
24854,1,1,1,-,1,71,0.1,-2,L-skew,2,0,1
24855,30,1,30,-,1,65,0.25,9,L-skew,2,0,0
24856,13,1,13,-,1,47,0.05,5,Symm,9,0,0
24857,110,0.05,7,-,1,31,0.4,-13,-,1,0,0
24858,7,1,7,-,1,5,0.99,3,R-skew,4,0,1
24859,31,0.25,-21,Symm,7,-2,0.8,-27,Symm,3,0,1
24860,85,0.2,-33,Symm,7,-9,1,-9,-,1,0,0
24861,69,0.5,-47,-,1,50,0.4,-6,-,1,0,0
24862,-5,1,-5,-,1,33,0.1,-20,Symm,7,0,0
24863,3,1,3,-,1,9,0.05,3,Symm,9,0,0
24864,87,0.1,-14,-,1,80,0.1,-21,-,1,0,0
24865,8,1,8,-,1,6,0.75,6,R-skew,8,0,0
24866,17,1,17,-,1,87,0.4,-35,-,1,0,0
24867,5,1,5,-,1,28,0.01,12,-,1,0,1
24868,41,0.25,25,-,1,49,0.05,22,R-skew,6,0,0
24869,22,1,22,-,1,211,0.05,9,-,1,0,1
24870,-8,1,-8,-,1,-6,0.2,-18,-,1,0,1
24871,7,1,7,-,1,14,0.75,-38,-,1,0,0
24872,-9,1,-9,-,1,18,0.05,0,-,1,0,0
24873,27,1,27,-,1,27,1,27,L-skew,3,0,0
24874,40,0.5,10,-,1,25,1,25,L-skew,4,0,0
24875,6,0.25,3,-,1,7,0.5,-20,R-skew,5,0,0
24876,177,0.1,7,-,1,67,0.6,-46,Symm,9,0,0
24877,-4,1,-4,-,1,7,0.2,1,R-skew,5,0,0
24878,-5,1,-5,-,1,15,0.25,-5,-,1,0,0
24879,47,0.1,16,-,1,18,0.9,5,Symm,9,-1,1
24880,25,1,25,-,1,42,0.75,-24,-,1,0,1
24881,22,0.4,-31,Symm,9,-10,1,-10,-,1,0,0
24882,5,1,5,Symm,7,12,0.25,9,-,1,0,1
24883,22,0.5,4,-,1,56,0.05,9,-,1,0,0
24884,25,0.99,-41,-,1,35,0.75,-25,Symm,5,0,1
24885,65,0.4,3,R-skew,6,21,0.2,17,-,1,-1,0
24886,-5,1,-5,-,1,35,0.4,-42,Symm,3,0,0
24887,19,1,19,-,1,50,0.4,6,-,1,0,0
24888,9,0.75,5,-,1,61,0.01,10,L-skew,6,-1,0
24889,1,1,1,-,1,9,0.05,-7,Symm,5,0,1
24890,-3,0.99,-8,-,1,45,0.4,-35,L-skew,3,0,1
24891,67,0.25,0,-,1,21,0.99,20,L-skew,3,0,0
24892,9,1,9,-,1,51,0.2,-4,Symm,5,0,0
24893,15,1,15,-,1,15,0.4,10,-,1,0,0
24894,25,1,25,-,1,50,0.1,22,-,1,0,1
24895,11,0.5,-9,R-skew,6,18,0.6,-32,-,1,0,0
24896,23,1,23,-,1,93,0.4,-26,L-skew,5,0,0
24897,-1,1,-1,-,1,79,0.01,-2,-,1,0,0
24898,25,1,25,-,1,26,0.9,22,Symm,9,0,1
24899,7,0.6,7,-,1,114,0.2,-23,Symm,9,0,0
24900,4,0.6,-31,-,1,50,0.2,-34,-,1,0,0
24901,23,0.2,2,-,1,32,0.1,-7,-,1,0,0
24902,12,1,12,-,1,59,0.4,-13,Symm,7,0,0
24903,-6,1,-6,-,1,35,0.25,-10,-,1,0,1
24904,20,1,20,-,1,34,0.75,6,Symm,3,0,0
24905,8,1,8,-,1,17,0.4,2,-,1,0,0
24906,12,1,12,-,1,80,0.1,-2,-,1,0,0
24907,-8,0.8,-18,-,1,-10,1,-10,-,1,0,0
24908,27,0.8,-33,-,1,22,0.9,-1,-,1,0,0
24909,55,0.4,5,Symm,3,27,0.95,2,Symm,7,-1,0
24910,12,1,12,-,1,31,0.4,5,R-skew,5,0,0
24911,40,0.4,22,Symm,3,50,0.05,32,Symm,3,-1,0
24912,154,0.2,-31,Symm,7,45,0.4,-38,L-skew,6,0,0
24913,65,0.2,15,-,1,25,0.75,9,-,1,-1,0
24914,5,1,5,-,1,28,0.75,-35,-,1,0,0
24915,5,0.8,-15,R-skew,3,6,0.9,-26,-,1,0,0
24916,16,1,16,-,1,128,0.25,-19,Symm,7,0,0
24917,1,0.95,-21,-,1,-5,0.95,-19,-,1,-1,0
24918,39,0.25,19,-,1,59,0.6,-17,R-skew,6,0,0
24919,73,0.1,-4,-,1,35,0.5,-14,Symm,5,0,0
24920,15,1,15,-,1,87,0.2,-8,Symm,9,0,1
24921,26,1,26,-,1,33,0.9,-44,Symm,5,0,0
24922,27,1,27,-,1,37,0.1,21,-,1,0,0
24923,22,1,22,-,1,32,0.5,7,-,1,0,0
24924,24,1,24,-,1,95,0.4,-19,Symm,9,0,0
24925,36,0.6,-17,-,1,39,0.5,-19,Symm,9,-1,0
24926,70,0.01,1,-,1,147,0.1,-13,-,1,0,0
24927,48,0.2,0,-,1,33,0.01,8,-,1,0,0
24928,26,1,26,-,1,34,0.25,20,-,1,0,0
24929,6,1,6,R-skew,3,89,0.2,-7,-,1,0,0
24930,-10,1,-10,-,1,80,0.1,-17,-,1,0,0
24931,20,0.8,15,-,1,80,0.25,-7,-,1,0,0
24932,12,1,12,-,1,13,0.8,-21,-,1,0,0
24933,10,1,10,-,1,77,0.25,-22,Symm,3,0,1
24934,69,0.2,3,-,1,45,0.4,8,Symm,5,0,1
24935,8,1,8,-,1,23,0.25,8,Symm,3,0,0
24936,-7,1,-7,R-skew,7,49,0.01,-5,-,1,0,0
24937,-1,1,-1,-,1,4,0.4,-10,-,1,0,0
24938,12,0.25,12,L-skew,3,15,0.95,-2,-,1,0,0
24939,5,1,5,-,1,51,0.1,4,Symm,9,0,0
24940,7,1,7,-,1,50,0.1,14,-,1,0,1
24941,7,1,7,-,1,27,0.6,-25,-,1,0,0
24942,5,1,5,-,1,13,0.8,-4,Symm,3,0,0
24943,-2,1,-2,-,1,2,0.95,-2,Symm,9,0,0
24944,19,0.8,15,-,1,237,0.05,4,-,1,-1,0
24945,7,1,7,-,1,6,0.4,-8,-,1,0,0
24946,22,1,22,-,1,227,0.25,-40,-,1,0,0
24947,4,1,4,-,1,14,0.2,10,Symm,9,0,0
24948,44,0.25,20,-,1,87,0.5,-24,-,1,0,0
24949,35,0.75,-24,-,1,40,0.4,11,L-skew,6,-1,1
24950,1,1,1,-,1,250,0.05,-5,-,1,0,0
24951,106,0.4,-42,R-skew,2,14,0.9,3,L-skew,6,0,1
24952,69,0.1,19,-,1,59,0.5,-30,L-skew,5,-1,0
24953,64,0.05,24,L-skew,5,48,0.05,22,-,1,0,0
24954,58,0.05,1,-,1,43,0.1,-3,-,1,0,0
24955,13,0.95,9,-,1,13,0.9,11,-,1,-1,1
24956,-6,1,-6,-,1,-4,0.75,-24,Symm,9,0,1
24957,29,1,29,-,1,67,0.05,30,-,1,0,1
24958,23,0.1,20,Symm,7,19,0.75,4,-,1,-1,1
24959,51,0.1,21,-,1,23,0.99,-7,-,1,0,0
24960,36,0.4,-9,-,1,37,0.2,-4,Symm,9,0,1
24961,19,1,19,-,1,28,0.4,-1,Symm,5,0,0
24962,76,0.01,18,-,1,53,0.5,-36,R-skew,5,1,0
24963,30,0.8,19,-,1,42,0.75,-10,Symm,5,0,0
24964,-9,1,-9,-,1,36,0.05,-11,R-skew,6,0,0
24965,17,1,17,-,1,73,0.2,-7,Symm,5,0,1
24966,25,1,25,-,1,31,0.95,24,Symm,5,0,0
24967,-3,0.1,-3,-,1,82,0.05,-11,-,1,0,0
24968,29,1,29,-,1,52,0.5,-1,-,1,0,0
24969,61,0.4,-44,-,1,28,0.4,-27,-,1,1,0
24970,15,0.01,7,-,1,13,0.95,4,Symm,7,0,0
24971,18,1,18,-,1,39,0.5,3,Symm,7,0,0
24972,8,0.5,-24,-,1,-1,0.75,-18,R-skew,5,0,0
24973,-8,1,-8,-,1,-5,0.8,-24,Symm,7,0,0
24974,-1,1,-1,-,1,57,0.2,-23,R-skew,4,0,0
24975,-9,1,-9,-,1,-1,0.1,-6,R-skew,3,0,0
24976,5,1,5,-,1,51,0.4,-21,-,1,0,0
24977,30,1,30,-,1,49,0.25,34,L-skew,3,0,0
24978,10,1,10,-,1,23,0.8,15,Symm,5,0,0
24979,-5,1,-5,-,1,-6,0.99,-29,-,1,0,0
24980,39,0.4,-19,-,1,71,0.2,-16,L-skew,6,0,0
24981,30,0.25,6,-,1,119,0.1,-10,R-skew,5,1,0
24982,11,1,11,-,1,24,0.01,11,-,1,0,0
24983,2,1,2,-,1,34,0.1,-8,-,1,0,0
24984,57,0.5,-49,-,1,43,0.25,-18,-,1,0,1
24985,26,0.01,5,-,1,135,0.25,-31,R-skew,4,0,0
24986,27,1,27,-,1,25,0.25,22,Symm,5,0,1
24987,-9,1,-9,-,1,94,0.1,-31,-,1,0,0
24988,42,0.05,-6,-,1,55,0.2,-19,-,1,0,0
24989,17,0.5,-23,Symm,5,16,0.2,-15,L-skew,2,0,0
24990,22,1,22,-,1,22,0.9,-10,-,1,0,0
24991,31,0.25,27,-,1,54,0.5,3,Symm,7,-1,0
24992,11,0.99,-26,L-skew,4,213,0.1,-8,-,1,0,0
24993,17,1,17,-,1,21,0.4,19,Symm,3,0,1
24994,84,0.1,-15,-,1,-4,0.6,-11,L-skew,2,0,1
24995,30,0.2,-14,-,1,11,0.05,-4,Symm,3,-1,0
24996,14,0.8,2,-,1,51,0.5,-11,R-skew,6,0,0
24997,96,0.1,20,-,1,27,0.2,21,-,1,0,1
24998,61,0.1,21,R-skew,3,70,0.1,17,Symm,5,0,1
24999,-10,1,-10,-,1,42,0.2,-15,-,1,0,0
25000,17,0.2,2,L-skew,4,5,1,5,-,1,0,0
25001,96,0.2,12,R-skew,2,38,0.95,19,R-skew,6,1,0
25002,21,1,21,-,1,36,0.25,25,Symm,7,0,0
25003,50,0.1,10,Symm,9,49,0.6,-32,-,1,0,0
25004,67,0.25,7,-,1,26,0.5,12,-,1,0,0
25005,70,0.1,16,R-skew,3,43,0.2,9,Symm,9,0,1
25006,53,0.05,16,L-skew,4,27,0.4,0,Symm,7,0,0
25007,41,0.6,9,Symm,3,35,0.01,21,Symm,5,0,0
25008,27,1,27,-,1,28,0.01,24,Symm,9,0,0
25009,-10,1,-10,-,1,-11,0.01,-17,Symm,9,0,0
25010,-9,1,-9,-,1,-9,1,-9,Symm,9,0,0
25011,17,0.5,-19,-,1,55,0.5,-46,L-skew,6,0,0
25012,18,0.8,13,L-skew,5,76,0.01,19,Symm,9,0,0
25013,-6,0.6,-8,-,1,-3,0.2,-3,-,1,0,0
25014,28,0.95,-17,-,1,26,1,26,Symm,9,0,0
25015,-5,1,-5,-,1,0,0.6,-2,-,1,0,1
25016,19,0.9,-11,Symm,5,14,0.75,9,-,1,1,0
25017,6,1,6,-,1,14,0.4,-2,R-skew,3,0,0
25018,14,1,14,-,1,14,1,14,Symm,5,0,1
25019,63,0.25,7,R-skew,2,55,0.05,14,-,1,-1,0
25020,18,1,18,-,1,18,1,18,R-skew,5,0,0
25021,-3,1,-3,-,1,5,0.2,1,Symm,7,0,0
25022,79,0.25,-12,Symm,7,22,0.6,9,R-skew,5,0,0
25023,29,1,29,-,1,40,0.05,17,-,1,0,0
25024,13,1,13,-,1,33,0.4,1,Symm,5,0,0
25025,7,1,7,-,1,10,0.01,-2,-,1,0,0
25026,62,0.01,-1,-,1,34,0.6,-43,-,1,0,0
25027,30,1,30,-,1,30,0.4,17,-,1,0,0
25028,21,0.95,-20,L-skew,5,59,0.25,15,-,1,0,0
25029,116,0.4,-29,-,1,31,0.9,25,-,1,0,0
25030,3,0.8,-2,Symm,3,59,0.2,-13,-,1,0,0
25031,-6,1,-6,-,1,-5,0.99,-27,-,1,0,0
25032,21,1,21,-,1,22,0.95,18,L-skew,4,0,0
25033,50,0.4,13,R-skew,3,36,0.6,7,R-skew,6,0,0
25034,24,0.05,24,-,1,32,0.4,7,-,1,0,0
25035,22,1,22,-,1,51,0.1,18,Symm,9,0,0
25036,15,1,15,-,1,25,0.2,17,-,1,0,0
25037,-5,0.99,-10,-,1,7,0.2,-8,R-skew,5,-1,0
25038,10,0.75,-26,Symm,5,-2,0.8,-13,-,1,0,0
25039,2,1,2,-,1,12,0.2,-8,Symm,3,0,0
25040,68,0.4,-14,-,1,24,0.75,4,-,1,-1,1
25041,44,0.05,29,-,1,30,0.9,20,Symm,9,0,0
25042,-1,1,-1,-,1,48,0.05,-4,-,1,0,0
25043,-10,1,-10,-,1,67,0.2,-30,-,1,0,0
25044,58,0.25,21,-,1,27,0.25,27,R-skew,6,0,0
25045,19,0.6,-9,-,1,16,0.8,5,-,1,0,0
25046,10,1,10,-,1,27,0.6,-41,Symm,3,0,0
25047,24,0.2,-11,-,1,60,0.25,-30,-,1,0,0
25048,54,0.2,23,Symm,7,35,0.75,-1,-,1,0,1
25049,36,0.01,7,R-skew,5,50,0.05,12,-,1,0,1
25050,2,1,2,-,1,73,0.05,-5,Symm,9,0,0
25051,9,0.25,-11,-,1,-2,0.4,-16,-,1,0,0
25052,22,1,22,-,1,48,0.4,15,-,1,0,0
25053,23,0.6,-17,Symm,9,40,0.1,-1,Symm,7,0,0
25054,200,0.05,-20,-,1,31,0.01,-12,-,1,0,0
25055,14,1,14,-,1,13,0.95,3,-,1,0,1
25056,8,0.1,-6,-,1,0,0.6,-2,L-skew,2,0,1
25057,19,1,19,-,1,194,0.1,-6,-,1,0,1
25058,0,1,0,-,1,5,0.95,-10,L-skew,3,0,0
25059,36,0.25,19,L-skew,3,54,0.05,28,Symm,5,0,0
25060,18,1,18,-,1,20,0.9,2,Symm,5,0,0
25061,121,0.2,-19,-,1,64,0.2,-8,-,1,-1,0
25062,12,0.4,-1,-,1,4,1,4,-,1,0,0
25063,30,0.4,17,-,1,22,1,22,Symm,5,0,0
25064,26,1,26,-,1,122,0.25,-4,-,1,0,0
25065,78,0.25,-14,-,1,52,0.1,8,-,1,0,0
25066,15,0.95,-22,Symm,9,13,1,13,Symm,5,0,0
25067,-3,1,-3,-,1,103,0.25,-45,Symm,7,0,0
25068,92,0.1,9,L-skew,3,28,0.9,-20,-,1,0,0
25069,8,1,8,-,1,38,0.5,-12,-,1,0,0
25070,5,1,5,-,1,74,0.4,-30,-,1,0,0
25071,10,0.99,-6,-,1,54,0.5,-37,-,1,0,0
25072,15,0.99,-33,-,1,182,0.2,-35,-,1,0,0
25073,34,0.5,-44,-,1,15,0.4,-12,-,1,0,0
25074,9,1,9,-,1,42,0.6,-32,-,1,0,0
25075,24,1,24,-,1,23,0.6,22,-,1,0,0
25076,50,0.4,-22,L-skew,4,7,1,7,R-skew,4,0,0
25077,34,0.01,-2,-,1,9,0.4,2,Symm,5,0,0
25078,1,1,1,-,1,31,0.05,9,Symm,3,0,0
25079,61,0.4,-19,-,1,86,0.4,-25,-,1,0,1
25080,28,0.5,26,-,1,66,0.05,22,-,1,0,0
25081,2,1,2,-,1,6,0.95,5,L-skew,4,0,0
25082,-7,1,-7,-,1,81,0.01,2,R-skew,6,0,0
25083,10,1,10,-,1,26,0.2,13,Symm,5,0,0
25084,12,1,12,-,1,118,0.25,-10,Symm,7,0,0
25085,15,1,15,-,1,39,0.05,14,-,1,0,1
25086,18,0.75,2,-,1,31,0.6,-18,-,1,0,0
25087,26,1,26,-,1,43,0.6,10,R-skew,4,0,1
25088,60,0.4,-12,-,1,43,0.75,-48,R-skew,2,0,1
25089,37,0.2,25,-,1,30,0.75,-10,-,1,0,0
25090,10,0.99,3,-,1,15,0.25,6,L-skew,4,0,0
25091,6,1,6,-,1,17,0.1,3,-,1,0,0
25092,15,1,15,-,1,30,0.9,-50,R-skew,3,0,0
25093,7,0.8,-4,-,1,8,0.75,0,R-skew,6,0,0
25094,9,0.75,-47,R-skew,6,84,0.05,-13,-,1,0,0
25095,-2,1,-2,-,1,18,0.1,-13,-,1,0,0
25096,27,1,27,-,1,53,0.6,-12,Symm,5,0,0
25097,37,0.2,-13,-,1,11,0.75,-31,-,1,0,0
25098,2,1,2,-,1,5,0.75,-1,-,1,0,1
25099,5,1,5,-,1,13,0.6,-10,L-skew,2,0,0
25100,2,1,2,-,1,23,0.01,-3,-,1,0,0
25101,28,0.1,17,-,1,102,0.4,-47,-,1,0,0
25102,0,1,0,-,1,103,0.25,-27,-,1,0,0
25103,15,0.5,-9,-,1,44,0.25,-12,-,1,0,0
25104,20,1,20,-,1,52,0.1,20,-,1,0,0
25105,4,1,4,-,1,7,0.95,1,-,1,0,0
25106,13,0.4,-20,Symm,5,37,0.4,-27,Symm,9,0,0
25107,11,1,11,-,1,34,0.5,-18,Symm,7,0,0
25108,209,0.01,9,-,1,67,0.05,15,Symm,5,0,0
25109,19,1,19,-,1,14,0.95,-12,-,1,0,0
25110,-8,1,-8,-,1,-9,0.75,-22,L-skew,4,0,1
25111,24,1,24,-,1,78,0.4,-13,L-skew,4,0,0
25112,49,0.4,-28,-,1,3,1,3,Symm,9,0,1
25113,8,0.99,-31,Symm,5,43,0.05,4,Symm,3,0,0
25114,32,0.9,11,-,1,35,0.95,17,-,1,0,1
25115,23,1,23,-,1,31,0.9,-1,Symm,5,0,0
25116,-3,0.8,-17,Symm,5,-2,0.6,-22,Symm,7,0,0
25117,-5,0.99,-41,-,1,33,0.4,-42,-,1,0,0
25118,27,0.05,18,-,1,53,0.05,18,Symm,9,0,0
25119,89,0.1,-15,-,1,49,0.05,-4,Symm,7,-1,0
